kod,ad
371,Dönem Kârının Peşin Ödenen Vergi ve Diğer Yükümlülükleri (-)
372,Kıdem Tazminatı Karşılığı
373,Maliyet Giderleri Karşılığı
379,Diğer Borç ve Gider Karşılıkları
38,GELECEK AYLARA AİT GELİRLER VE GİDER TAHAKKUKLARI
380,Gelecek Aylara Ait Gelirler
381,Gider Tahakkukları
39,DİĞER KISA VADELİ YABANCI KAYNAKLAR
391,Hesaplanan Katma Değer Vergisi
392,Diğer Katma Değer Vergisi
393,Merkez ve Şubeler Cari Hesabı
397,Sayım ve Tesellüm Fazlaları
399,Diğer Çeşitli Yabancı Kaynaklar
4,UZUN VADELİ YABANCI KAYNAKLAR
40,MALİ BORÇLAR
400,Banka Kredileri
405,Çıkarılmış Tahviller
407,Çıkarılmış Diğer Menkul Kıymetler
408,Menkul Kıymetler İhraç Farkı (-)
409,Diğer Mali Borçlar
42,TİCARİ BORÇLAR
420,Satıcılar
421,Borç Senetleri
422,Borç Senetleri Reeskontu (-)
426,Alınan Depozito ve Teminatlar
429,Diğer Ticari Borçlar
43,DİĞER BORÇLAR
431,Ortaklara Borçlar
432,İştiraklere Borçlar
433,Bağlı Ortaklıklara Borçlar
436,Diğer Çeşitli Borçlar
437,Diğer Borç Senetleri Reeskontu (-)
438,Kamuya Olan Ertelenmiş veya Taksitlendirilmiş Borçlar
44,ALINAN AVANSLAR
440,Alınan Sipariş Avansları
449,Alınan Diğer Avanslar
47,BORÇ VE GİDER KARŞILIKLARI
472,Kıdem Tazminatı Karşılığı
479,Diğer Borç ve Gider Karşılıkları
48,GELECEK YILLARA AİT GELİRLER VE GİDER TAHAKKUKLARI
480,Gelecek Yıllara Ait Gelirler
481,Gider Tahakkukları
49,DİĞER UZUN VADELİ YABANCI KAYNAKLAR
492,Gelecek Yıllara Ertelenen veya Terkin Edilecek Katma Değer Vergisi
493,Tesise Katılma Payları
499,Diğer Çeşitli Uzun Vadeli Yabancı Kaynaklar
5,ÖZ KAYNAKLAR
50,ÖDENMİŞ SERMAYE
500,Sermaye
501,Ödenmemiş Sermaye (-)
52,SERMAYE YEDEKLERİ
520,Hisse Senetleri İhraç Primleri
521,Hisse Senedi İptal Kârları
522,Maddi Duran Varlık Yeniden Değerleme Artışları
523,İştirakler Yeniden Değerleme Artışları
529,Diğer Sermaye Yedekleri
54,KÂR YEDEKLERİ
540,Yasal Yedekler
541,Statü Yedekleri
542,Olağanüstü Yedekler
548,Diğer Kâr Yedekleri
549,Özel Fonlar
57,GEÇMİŞ YILLAR KÂRLARI
570,Geçmiş Yıllar Kârları
58,GEÇMİŞ YILLAR ZARARLARI
580,Geçmiş Yıllar Zararları (-)
59,DÖNEM NET KÂRI (ZARARI)
590,Dönem Net Kârı
591,Dönem Net Zararı (-)
6,GELİR TABLOSU HESAPLARI
60,BRÜT SATIŞLAR
600,Yurtiçi Satışlar
601,Yurtdışı Satışlar
602,Diğer Gelirler
61,SATIŞ İNDİRİMLERİ (-)
610,Satıştan İadeler (-)
611,Satış İskontoları (-)
612,Diğer İndirimler (-)
62,SATIŞLARIN MALİYETİ (-)
620,Satılan Mamuller Maliyeti (-)
621,Satılan Ticari Mallar Maliyeti (-)
622,Satılan Hizmet Maliyeti (-)
623,Diğer Satışların Maliyeti (-)
63,FAALİYET GİDERLERİ (-)
630,Araştırma ve Geliştirme Giderleri (-)
631,Pazarlama Satış ve Dağıtım Giderleri (-)
632,Genel Yönetim Giderleri (-)
64,DİĞER FAALİYETLERDEN OLAĞAN GELİR VE KÂRLAR
640,İştiraklerden Temettü Gelirleri
641,Bağlı Ortaklıklardan Temettü Gelirleri
642,Faiz Gelirleri
643,Komisyon Gelirleri
644,Konusu Kalmayan Karşılıklar
645,Menkul Kıymet Satış Kârları
646,Kambiyo Kârları
